date,tag,fichier,cumul
2026-09-13,"v3.0.0","Noltan-Installation.exe",12
2026-09-13,"v2.4.0","Plutus-Installation.exe",13
2026-09-13,"v2.3.1","Plutus-Installation.exe",3
2026-09-13,"v2.3.0","Plutus-Installation.exe",2
2026-09-13,"v2.2.0","Plutus-Installation.exe",27
2026-09-13,"v2.1.12","Plutus-Installation.exe",1
2026-09-13,"v2.1.11","Plutus-Installation.exe",4
2026-09-13,"v2.1.10","Plutus-Installation.exe",0
2026-09-13,"v2.1.9","Plutus-Installation.exe",6
2026-09-13,"v2.1.8","Plutus-Installation.exe",2
2026-09-13,"v2.1.7","Plutus-Installation.exe",1
2026-09-13,"v2.1.6","Plutus-Installation.exe",0
2026-09-13,"v2.1.5","Plutus-Installation.exe",1
2026-09-13,"v2.1.4","Plutus-Installation.exe",0
2026-09-13,"v2.1.3","Plutus-Installation.exe",2
2026-09-13,"v2.1.2","Plutus-Installation.exe",0
2026-09-13,"v2.1.1","Plutus-Installation.exe",0
2026-09-13,"v1.0.3","Plutus-Installation.exe",1
2026-09-13,"v1.0.2","Plutus-Installation.exe",0
2026-09-14,"v3.0.0","Noltan-Installation.exe",14
2026-09-14,"v2.4.0","Plutus-Installation.exe",13
2026-09-14,"v2.3.1","Plutus-Installation.exe",3
2026-09-14,"v2.3.0","Plutus-Installation.exe",2
2026-09-14,"v2.2.0","Plutus-Installation.exe",27
2026-09-14,"v2.1.12","Plutus-Installation.exe",1
2026-09-14,"v2.1.11","Plutus-Installation.exe",4
2026-09-14,"v2.1.10","Plutus-Installation.exe",0
2026-09-14,"v2.1.9","Plutus-Installation.exe",6
2026-09-14,"v2.1.8","Plutus-Installation.exe",2
2026-09-14,"v2.1.7","Plutus-Installation.exe",1
2026-09-14,"v2.1.6","Plutus-Installation.exe",0
2026-09-14,"v2.1.5","Plutus-Installation.exe",1
2026-09-14,"v2.1.4","Plutus-Installation.exe",0
2026-09-14,"v2.1.3","Plutus-Installation.exe",2
2026-09-14,"v2.1.2","Plutus-Installation.exe",0
2026-09-14,"v2.1.1","Plutus-Installation.exe",0
2026-09-14,"v1.0.3","Plutus-Installation.exe",1
2026-09-14,"v1.0.2","Plutus-Installation.exe",0
2026-09-15,"v3.0.0","Noltan-Installation.exe",14
2026-09-15,"v2.4.0","Plutus-Installation.exe",13
2026-09-15,"v2.3.1","Plutus-Installation.exe",3
2026-09-15,"v2.3.0","Plutus-Installation.exe",2
2026-09-15,"v2.2.0","Plutus-Installation.exe",27
2026-09-15,"v2.1.12","Plutus-Installation.exe",1
2026-09-15,"v2.1.11","Plutus-Installation.exe",4
2026-09-15,"v2.1.10","Plutus-Installation.exe",0
2026-09-15,"v2.1.9","Plutus-Installation.exe",6
2026-09-15,"v2.1.8","Plutus-Installation.exe",2
2026-09-15,"v2.1.7","Plutus-Installation.exe",1
2026-09-15,"v2.1.6","Plutus-Installation.exe",0
2026-09-15,"v2.1.5","Plutus-Installation.exe",1
2026-09-15,"v2.1.4","Plutus-Installation.exe",0
2026-09-15,"v2.1.3","Plutus-Installation.exe",2
2026-09-15,"v2.1.2","Plutus-Installation.exe",0
2026-09-15,"v2.1.1","Plutus-Installation.exe",0
2026-09-15,"v1.0.3","Plutus-Installation.exe",1
2026-09-15,"v1.0.2","Plutus-Installation.exe",0
2026-09-16,"v3.0.0","Noltan-Installation.exe",14
2026-09-16,"v2.4.0","Plutus-Installation.exe",13
2026-09-16,"v2.3.1","Plutus-Installation.exe",3
2026-09-16,"v2.3.0","Plutus-Installation.exe",2
2026-09-16,"v2.2.0","Plutus-Installation.exe",27
2026-09-16,"v2.1.12","Plutus-Installation.exe",1
2026-09-16,"v2.1.11","Plutus-Installation.exe",4
2026-09-16,"v2.1.10","Plutus-Installation.exe",0
2026-09-16,"v2.1.9","Plutus-Installation.exe",6
2026-09-16,"v2.1.8","Plutus-Installation.exe",2
2026-09-16,"v2.1.7","Plutus-Installation.exe",1
2026-09-16,"v2.1.6","Plutus-Installation.exe",0
2026-09-16,"v2.1.5","Plutus-Installation.exe",1
2026-09-16,"v2.1.4","Plutus-Installation.exe",0
2026-09-16,"v2.1.3","Plutus-Installation.exe",2
2026-09-16,"v2.1.2","Plutus-Installation.exe",0
2026-09-16,"v2.1.1","Plutus-Installation.exe",0
2026-09-16,"v1.0.3","Plutus-Installation.exe",1
2026-09-16,"v1.0.2","Plutus-Installation.exe",0
2026-09-17,"v3.0.0","Noltan-Installation.exe",14
2026-09-17,"v2.4.0","Plutus-Installation.exe",13
2026-09-17,"v2.3.1","Plutus-Installation.exe",3
2026-09-17,"v2.3.0","Plutus-Installation.exe",2
2026-09-17,"v2.2.0","Plutus-Installation.exe",27
2026-09-17,"v2.1.12","Plutus-Installation.exe",1
2026-09-17,"v2.1.11","Plutus-Installation.exe",4
2026-09-17,"v2.1.10","Plutus-Installation.exe",0
2026-09-17,"v2.1.9","Plutus-Installation.exe",6
2026-09-17,"v2.1.8","Plutus-Installation.exe",2
2026-09-17,"v2.1.7","Plutus-Installation.exe",1
2026-09-17,"v2.1.6","Plutus-Installation.exe",0
2026-09-17,"v2.1.5","Plutus-Installation.exe",1
2026-09-17,"v2.1.4","Plutus-Installation.exe",0
2026-09-17,"v2.1.3","Plutus-Installation.exe",2
2026-09-17,"v2.1.2","Plutus-Installation.exe",0
2026-09-17,"v2.1.1","Plutus-Installation.exe",0
2026-09-17,"v1.0.3","Plutus-Installation.exe",1
2026-09-17,"v1.0.2","Plutus-Installation.exe",0
2026-09-18,"v3.0.0","Noltan-Installation.exe",14
2026-09-18,"v2.4.0","Plutus-Installation.exe",13
2026-09-18,"v2.3.1","Plutus-Installation.exe",3
2026-09-18,"v2.3.0","Plutus-Installation.exe",2
2026-09-18,"v2.2.0","Plutus-Installation.exe",27
2026-09-18,"v2.1.12","Plutus-Installation.exe",1
2026-09-18,"v2.1.11","Plutus-Installation.exe",4
2026-09-18,"v2.1.10","Plutus-Installation.exe",0
2026-09-18,"v2.1.9","Plutus-Installation.exe",6
2026-09-18,"v2.1.8","Plutus-Installation.exe",2
2026-09-18,"v2.1.7","Plutus-Installation.exe",1
2026-09-18,"v2.1.6","Plutus-Installation.exe",0
2026-09-18,"v2.1.5","Plutus-Installation.exe",1
2026-09-18,"v2.1.4","Plutus-Installation.exe",0
2026-09-18,"v2.1.3","Plutus-Installation.exe",2
2026-09-18,"v2.1.2","Plutus-Installation.exe",0
